model,fold,accuracy,auc_roc,precision,recall,f1_score
Logistic Regression,1,1.0,1.0,1.0,1.0,1.0
Logistic Regression,2,1.0,1.0,1.0,1.0,1.0
Logistic Regression,3,1.0,1.0,1.0,1.0,1.0
Logistic Regression,4,1.0,1.0,1.0,1.0,1.0
Logistic Regression,5,1.0,1.0,1.0,1.0,1.0
Random Forest,1,1.0,1.0,1.0,1.0,1.0
Random Forest,2,1.0,1.0,1.0,1.0,1.0
Random Forest,3,1.0,1.0,1.0,1.0,1.0
Random Forest,4,1.0,1.0,1.0,1.0,1.0
Random Forest,5,1.0,1.0,1.0,1.0,1.0
SVM,1,0.9945945945945946,1.0,1.0,0.9821428571428571,0.990990990990991
SVM,2,0.9728260869565217,0.99830866807611,0.9629629629629629,0.9454545454545454,0.9541284403669725
SVM,3,0.9945652173913043,1.0,1.0,0.9818181818181818,0.9908256880733946
SVM,4,0.9945652173913043,1.0,1.0,0.9818181818181818,0.9908256880733946
SVM,5,0.9891304347826086,0.9997181113460183,0.9649122807017544,1.0,0.9821428571428571
Gradient Boosting,1,1.0,1.0,1.0,1.0,1.0
Gradient Boosting,2,1.0,1.0,1.0,1.0,1.0
Gradient Boosting,3,1.0,1.0,1.0,1.0,1.0
Gradient Boosting,4,1.0,1.0,1.0,1.0,1.0
Gradient Boosting,5,1.0,1.0,1.0,1.0,1.0
LightGBM,1,1.0,1.0,1.0,1.0,1.0
LightGBM,2,1.0,1.0,1.0,1.0,1.0
LightGBM,3,1.0,0.9999999999999999,1.0,1.0,1.0
LightGBM,4,1.0,1.0,1.0,1.0,1.0
LightGBM,5,1.0,1.0,1.0,1.0,1.0
XGBoost,1,0.9945945945945946,0.9910714285714286,1.0,0.9821428571428571,0.990990990990991
XGBoost,2,1.0,1.0,1.0,1.0,1.0
XGBoost,3,1.0,1.0,1.0,1.0,1.0
XGBoost,4,1.0,1.0,1.0,1.0,1.0
XGBoost,5,1.0,1.0,1.0,1.0,1.0
CatBoost,1,1.0,1.0,1.0,1.0,1.0
CatBoost,2,0.9945652173913043,1.0,0.9821428571428571,1.0,0.990990990990991
CatBoost,3,1.0,1.0,1.0,1.0,1.0
CatBoost,4,1.0,1.0,1.0,1.0,1.0
CatBoost,5,1.0,1.0,1.0,1.0,1.0
